Ascending_Rank,District,Median_Income,Representative,Party
289,NJ-9,75997,B. Pascrell Jr.,Democrat
290,ME-1,76039,C. Pingree,Democrat
291,NC-14,76176,J. Jackson,Democrat
292,IL-3,76411,D. Ramirez,Democrat
293,NY-11,76805,N. Malliotakis,Republican
294,CT-1,77023,J. Larson,Democrat
295,CA-20,77205,K. McCarthy,Republican
296,NY-20,77230,P. Tonko,Democrat
297,WA-2,77404,R. Larsen,Democrat
298,CA-46,77648,L. Correa,Democrat
299,RI-2,77649,S. Magaziner,Democrat
300,FL-5,77698,J. Rutherford,Republican
301,UT-1,77807,B. Moore,Republican
302,AK-At Large,77845,M. Peltola,Democrat
303,WA-6,77880,D. Kilmer,Democrat
304,PA-17,77984,C. Deluzio,Democrat
305,CA-39,78174,M. Takano,Democrat
306,TN-5,78185,A. Ogles,Republican
307,MN-4,78280,B. McCollum,Democrat
308,SC-1,78342,N. Mace,Republican
309,CA-30,78476,A. Schiff,Democrat
310,CT-3,78911,R. DeLauro,Democrat
311,WA-3,79251,M. Perez,Democrat
312,HI-2,79474,J. Tokuda,Democrat
313,WA-10,79478,M. Strickland,Democrat
314,OR-3,79532,E. Blumenauer,Democrat
315,CO-5,79567,D. Lamborn,Republican
316,NY-7,79594,N. Velázquez,Democrat
317,CA-31,80102,G. Napolitano,Democrat
318,IL-9,80300,J. Schakowsky,Democrat
319,CA-5,80355,T. McClintock,Republican
320,NJ-1,80459,D. Norcross,Democrat
321,CT-5,80655,J. Hayes,Democrat
322,MD-4,80808,G. Ivey,Democrat
323,UT-3,80915,J. Curtis,Republican
324,CA-35,80963,N. Torres,Democrat
325,MD-1,80984,A. Harris,Republican
326,OR-5,81113,L. Chavez-DeRemer,Republican
327,CO-1,81218,D. DeGette,Democrat
328,CA-9,81223,J. Harder,Democrat
329,IL-14,81316,L. Underwood,Democrat
330,TX-37,81520,L. Doggett,Democrat
331,TX-31,81714,J. Carter,Republican
332,OR-1,82256,S. Bonamici,Democrat
333,CO-8,82465,Y. Caraveo,Democrat
334,CA-7,82607,D. Matsui,Democrat
335,TX-4,82640,P. Fallon,Republican
336,GA-11,82747,B. Loudermilk,Republican
337,VA-2,82927,J. Kiggans,Republican
338,MA-3,83024,L. Trahan,Democrat
339,MI-11,83176,H. Stevens,Democrat
340,CT-2,83734,J. Courtney,Democrat
341,TX-8,83814,M. Luttrell,Republican
342,WI-5,83862,S. Fitzgerald,Republican
343,CO-6,83883,J. Crow,Democrat
344,CA-24,83996,S. Carbajal,Democrat
345,NJ-4,84057,C. Smith,Republican
346,TX-21,84168,C. Roy,Republican
347,NH-2,84417,A. Kuster,Democrat
348,IL-8,84500,R. Krishnamoorthi,Democrat
349,CA-4,84644,M. Thompson,Democrat
350,CA-8,84973,J. Garamendi,Democrat
351,NY-18,84999,P. Ryan,Democrat
352,TX-2,85790,D. Crenshaw,Republican
353,MI-6,85891,D. Dingell,Democrat
354,AZ-1,86002,D. Schweikert,Republican
355,CA-2,86015,J. Huffman,Democrat
356,MD-6,86245,D. Trone,Democrat
357,MA-2,86865,J. McGovern,Democrat
358,UT-4,87320,B. Owens,Republican
359,CA-41,87429,K. Calvert,Republican
360,CO-2,87437,J. Neguse,Democrat
361,CO-7,87480,B. Pettersen,Democrat
362,MA-9,87687,W. Keating,Democrat
363,CA-38,87928,L. Sánchez,Democrat
364,IL-6,87929,S. Casten,Democrat
365,MD-2,87980,D. Ruppersberger,Democrat
366,WA-9,88622,A. Smith,Democrat
367,KS-3,88701,S. Davids,Democrat
368,HI-1,89167,E. Case,Democrat
369,MO-2,89358,A. Wagner,Republican
370,DC-At Large,90088,E. Norton,Democrat
371,CA-27,90400,M. Garcia,Republican
372,CA-18,90456,Z. Lofgren,Democrat
373,TX-22,90555,T. Nehls,Republican
374,MN-6,90836,T. Emmer,Republican
375,CA-28,91049,J. Chu,Democrat
376,CA-12,91100,B. Lee,Democrat
377,TX-38,91184,W. Hunt,Republican
378,CA-51,91701,S. Jacobs,Democrat
379,CA-45,91764,M. Steel,Republican
380,NJ-6,91772,F. Pallone Jr.,Democrat
381,NH-1,91872,C. Pappas,Democrat
382,IL-10,92214,B. Schneider,Democrat
383,NC-2,92635,D. Ross,Democrat
384,VA-1,93142,R. Wittman,Republican
385,PA-6,94356,C. Houlahan,Democrat
386,CA-3,94516,K. Kiley,Republican
387,MN-3,95334,D. Phillips,Democrat
388,CA-32,95423,B. Sherman,Democrat
389,IL-11,95707,B. Foster,Democrat
390,NY-10,95778,D. Goldman,Democrat
391,MN-2,95999,A. Craig,Democrat
392,CA-48,96266,D. Issa,Republican
393,NY-16,96948,J. Bowman,Democrat
394,AZ-5,97042,A. Biggs,Republican
395,TX-24,98648,B. Van Duyne,Republican
396,NJ-12,99002,B. Watson Coleman,Democrat
397,PA-4,99271,M. Dean,Democrat
398,CA-26,99443,J. Brownley,Democrat
399,PA-1,100136,B. Fitzpatrick,Republican
400,TX-3,100514,K. Self,Republican
401,MA-8,100517,S. Lynch,Democrat
402,IL-5,101166,M. Quigley,Democrat
403,CO-4,101778,K. Buck,Republican
404,MA-4,101977,J. Auchincloss,Democrat
405,TX-26,102036,M. Burgess,Republican
406,VA-7,102189,A. Spanberger,Democrat
407,NJ-3,102960,A. Kim,Democrat
408,CA-50,103036,S. Peters,Democrat
409,MA-6,103105,S. Moulton,Democrat
410,CT-4,103548,J. Himes,Democrat
411,CA-47,106156,K. Porter,Democrat
412,CA-19,108115,J. Panetta,Democrat
413,GA-6,108217,R. McCormick,Republican
414,CA-49,108544,M. Levin,Democrat
415,NY-2,109607,A. Garbarino,Republican
416,CA-36,110638,T. Lieu,Democrat
417,WA-7,111033,P. Jayapal,Democrat
418,WA-8,111589,K. Schrier,Democrat
419,NJ-5,113326,J. Gottheimer,Democrat
420,CA-40,113590,Y. Kim,Republican
421,NY-17,114511,M. Lawler,Republican
422,MD-3,114804,J. Sarbanes,Democrat
423,MA-5,115618,K. Clark,Democrat
424,NY-12,116070,J. Nadler,Democrat
425,VA-8,116332,D. Beyer,Democrat
426,MD-5,117049,S. Hoyer,Democrat
427,NJ-11,117198,M. Sherrill,Democrat
428,NY-3,119185,G. Santos,Republican
429,CA-14,119209,E. Swalwell,Democrat
